KI1311,,4,mM,131,GLYc + NADc CO2 + NH3 + SERc +NADHc,"SERc, competitive with GLYc",Douce et al (2001),,
Vm131,,2.49,mM L-1s-1,131,GLYc + NADc CO2 + NH3 + SERc +NADHc,,The same as Vm111,,
KM1011,,0.39,mM,101a,GCEAc  GCEA,GCEA,Howitz and McCarty (1986),,
KI1011,,0.28,mM,101a,GCEAcGCEA,"GCA, competitive with GCEA",Howitz and McCarty (1986),,
Vm101a,PR::RC::V1T,1.2,mM L-1s-1,101a,GCEAcGCEA,,Howitz and McCarty (1986),,
KM1012,,0.2,mM,101b,GCAGCAc,GCA,Howitz and McCarty (1985),,
KI1012,,0.22,mM,101b,GCAGCAc,GCEAcompetitive with GCA,Howitz and McCarty (1985),,
Vm101b,PR::RC::V2T,1.2,mM L-1s-1,101b,GCAGCAc,,Howitz and McCarty (1986),,
KE501,,20,,50,"GAPc ↔DHAPc
DHAPc +",,Bassham 1869,,
Km511,,0.020,mM,51,PGAc ↔ FBPc,FBPc,Anderson et al. (1975),,
Km512,,0.300,mM,51,DHAPc + PGAc ↔ FBPc,GAPc,Iwaki et al. (1991),,
Km513,,0.400,mM,51,DHAPc + PGAc ↔ FBPc,DHAPc,Iwaki et al. (1991),,
Km514,IGNORED,0.014,mM,51,DHAPc + PGAc ↔ FBPc,SBPc,Harris and Koniger (1997),,
KE51,,12,,51,DHAPc + PGAc ↔ FBPc,,Thomas et al. (1997),,
Vm51,,0.107,mM L-1s-1,51,DHAPc + PGAc ↔ FBPc,,"Chen et al (2005),  Strand et al. (2000), Strand et al (1999), Chen et al. (2005)",,
Km521,,0.0025,mM,52,FBPc ↔ F6Pc + Pic,FBPc,Jang et al. (2003),,
KI521,,0.7,mM,52,FBPc ↔ F6Pc + Pic,F6Pc,Heldt et al. (1983),,
KI522,,12,mM,52,FBPc ↔ F6Pc + Pic,Pic,Charles & Halliwell (1981),,
KI523,,7E-05,mM,52,FBPc ↔ F6Pc + Pic,F26BPc,Jang et al. (2003),,
KE52,,"6663
",,52,FBPc ↔ F6Pc + Pic,,"Bassham and Krause (1969)
",,
Vm52,,0.064,mM L-1s-1,52,FBPc ↔ F6Pc + Pic,,The same as Vm51,,
KE31,SUCS::RC::KE531,2.3,,54,F6Pc ↔ G6Pc,,Bassham 1869,,
KE41,SUCS::RC::KE541,0.0584,,54,G6P ↔ G1Pc,,Bassham 1869,,
Km551,,0.14,mM,55,G1Pc + UTPc↔GDPc +UDPGc,G1Pc,Nakano et al. (1989),,
Km552,,0.1,mM,55,G1Pc + UTPc↔GDPc +UDPGc,UTPc,Nakano et al. (1989),,
Km553,,0.11,mM,55,G1Pc + UTPc↔GDPc +UDPGc,OPOPc,Nakano et al. (1989),,
Km554,,0.12,mM,55,G1Pc + UTPc↔GDPc+UDPGc,UDPGc,Nakano et al. (1989),,
KE55,,0.31,,55,G1Pc + UTPc↔ GDPc+UDPGc,Equi,Lunn and Rees (1990),,
Vm55,,0.115,mM L-1s-1,55,G1Pc + UTPc↔ GDPc+UDPGc,,The same as Vm51,,
Km561,,0.8,mM,56,UDPGc + F6Pc ↔  SUCPc + UDPc,F6Pc,Lunn and Rees (1990),,
Km562,,2.4,mM,56,UDPGc + F6Pc ↔  SUCPc + UDPc,UDPGc,Lunn and Rees (1990),,
KI561,,0.7,mM,56,UDPGc + F6Pc ↔  SUCPc + UDPc,UDPc,Harbron et al. (1981),,
KI562,,0.8,mM,56,UDPGc + F6Pc ↔  SUCPc + UDPc,FBPc,Harbron et al. (1981),,
KI563,,0.4,mM,56,UDPGc + F6Pc ↔  SUCPc + UDPc,SUCPc,Harbron et al. (1981),,
KI564,,11,mM,56,UDPGc + F6Pc ↔  SUCPc + UDPc,Pic,Harbron et al. (1981),,
KI565,,50,mM,56,UDPGc + F6Pc ↔  SUCPc + UDPc,Sucrose,Salermo and Pontis (1978),,
KE56,,10,,56,UDPGc + F6Pc ↔  SUCPc + UDPc,Equl. Const.,Lunn and Rees (1990),,
Vm56,,0.056,mM L-1s-1,56,UDPGc + F6Pc ↔  SUCPc + UDPc,,The same as Vm51,,
Km571,,0.35,mM,57,SUCPc ↔ Pic + SUCc,SUCPc,Whitaker (1984),,
Ki572,,10,mM,57,SUCPc ↔ Pic + SUCc,SUCc,Whitaker (1984),,
KE57,"SUCS::RC::KE57,SUCS::MOD::KE57",780,,57,SUCPc ↔ Pic + SUCc,Equil. Const.,Lunn and Rees (1990),,
Vm57,,0.56,mM,57,SUCPc ↔ Pic + SUCc,,The same as Vm51,,
Km581,,0.032,mM,58,F26BPc ↔ F6Pc + Pic,F26BPc,Macdonald et al. (1989),,
KI581,,0.1,mM,58,F26BPc ↔ F6Pc + Pic,F6Pc,Villadsen and Nielsen (2001),,
KI582,,0.5,mM,58,F26BPc ↔ F6Pc + Pic,Pic,Villadsen and Nielsen (2001),,
Vm58,,0.017,mM L-1s-1,58,F26BPc ↔ F6Pc + Pic,,The same as Vm51,,
Km591,,5,mM,59,F6Pc + ATPc ↔ F26BPc + ADPc,ATPc,Walker and Huber (1987),,
Km592,,0.021,mM,59,F6Pc + ATPc ↔ F26BPc + ADPc,F26BPc,Garcia de Frutos and Baanante (1995),,
Km593,,0.55,mM,59,F6Pc + ATPc ↔ F26BPc + ADPc,F6Pc,Walker and Huber (1987),,
KI591,,0.16,mM,59,F6Pc + ATPc ↔ F26BPc + ADPc,ADPc,Kretschmer and Hofmann (1984),,
KI592,,0.7,mM,59,F6Pc + ATPc ↔ F26BPc + ADPc,DHAPc,Markham and Kruger (2002),,
KE59,,590,,59,F6Pc + ATPc ↔ F26BPc + ADPc,,Cornish-Bowden (1997),,
Vm59,,0.03,mM L-1s-1,59,F6Pc + ATPc ↔ F26BPc + ADPc,,Villadsen and Nielsen (2001),,
Km601,,0.042,mM,60,ATP+UDP ↔ ADP+UTP,ADPc,Kimura and Shimada (1988),,
Km602,,1.66,mM,60,ATP+UDP ↔ ADP+UTP,ATPc,Kimura and Shimada (1988),,
Km603,,0.28,mM,60,ATP+UDP ↔ ADP+UTP c,UDPc,Jong and Ma (1991),,
Km604,,16,mM,60,ATP+UDP ↔ ADP+UTP,UTPc,Fukuchi et al (1994),,
KE60,,16,,60,ATP+UDP ↔ ADP+UTP,Equili.,Lynn and Guynn (1978),,
,,6.1,,60,ATP+UDP ↔ ADP+UTP,,Villadsen and Nielsen (2001),,
KE61,,1.2E+07,,61,SUCPc ↔ SUCc + Pic,Equili.,Flodgaard and Fleron (1974),,
Vm61,,1000,mM L-1s-1,61,SUCPc ↔ SUCc + Pic,,Model estimate,,
Km621,,5,mM,62,SUCc ↔ Sink,Sucrose,Weschke et al. (2000),,
Vm62,,2,mM L-1s-1,62,SUCc ↔ Sink,,Model estimate,,

"Table II.4: The initial concentrations of solutes in the stroma and lumen, and the amount of the different components of the electron transfer chain in the dark assumed in the model of electron transfer. The [ADP], [Pi] and [ATP] in the stroma are based on measurements for barley (Igamberdiev et al. 2001).  The experimentally measured chloroplastic [Mg2], [K+], and [Cl-] are used as the basis for estimating the stromal concentration of these ions in the dark (Gimmler 1974; Barber 1976; Schroppelmeier and Kaiser 1988).  The model assumes total concentrations of stoma and luminal buffer species following Laisk et al. (1997).  The [NADPH] and [NADP+] in the stroma are based on the measurements of (Giersch et al. 1980) and (Pettersson and Ryde-Pettersson 1988).  In addition to [K+], [Mg2], and [H+], the stromal concentration of cations that cannot permeate the thylakoid membrane was assumed to be 1.4 mmol l-1.  As a simplification, the model currently assumes that the cross-membrane electrical potential was 0 in the dark and the pH of lumen and stroma were both 7.  The initial concentrations of components around PSII are described in detail in the model of fluorescence induction (Zhu et al 2005)."
Name,C++ Parameter,Value,Units,Description
ISPH,,0,mmol m­-2,
cyt f,BF::COND::cytc1,1,mmol m­-2,
Eaf,,0,mmol l-1,
ER,,0.3,mmol l-1,
ECMR,,0,mmol l-1,
MT,RuACT::POOL::M,5,mmol l-1,
C,RuACT::POOL::C,0.012,mmol l-1,
Rubisco,,1072,mg m-2,
Rubisco activase,RuACT::MOD::activase,80,mg m-2,
Ax,,10,mmol (mol chl a)-1,
Vx,,160,mmol (mol chl a)-1,
Zx,,5,mmol (mol chl a)-1,
Thioo,,0.081,mmol l-1,
Fdo,,0.081,mmol l-1,
Activaseo,,0.0056,mmol l-1,
GADPHo,,0.0033,mmol l-1,
FBPaseo,,0.003,mmol l-1,
SBPaseo,,0.0004,mmol l-1,
PRKo,,0.293,mmol l-1,
ATPaseo,,0.0036,mmol l-1,
ADPGPPo,,0.048,mmol l-1,
Thior,,0,mmol l-1,
Fdr,,0,mmol l-1,
Activaser,,0,mmol l-1,
GADPHr,,0,mmol l-1,
FBPaser,,0,mmol l-1,
SBPaser,,0,mmol l-1,
PRKr,,0,mmol l-1,
ATPaser,,0,mmol l-1,
ADPGPPr,,0,mmol l-1,
ISPox,BF::COND::ISPo,1,mmol m­-2,
ISPoxQH2,BF::COND::ISPoQH2,0,mmol m­-2,
PQH·,BF::COND::QHsemi,0,mmol m­-2,
Cyt bL,BF::COND::cytbL,1,mmol m­-2,
PQib,BF::COND::Qi,0,mmol m­-2,
PQ,BF::COND::Q,1,mmol m­-2,
Cyt bH,BF::COND::cytbH,1,mmol m­-2,
PQ-,"FI::COND::PQn,BF::COND::Qn",0,mmol m­-2,
PQ2-,BF::COND::Qr,0,mmol m­-2,
PQH2,BF::COND::QH2,5,mmol m­-2,
PC,,1,mmol m­-2,
P700,,0.5,mmol m­-2,
ADP,BF::COND::ADP,0.82,mmol l-1,
Pi,BF::MOD::_Pi,0.9,mmol l-1,
ATP,BF::COND::ATP,0.68,mmol l-1,
K+s,,10,mmol l-1,
Mg2+s,,5,mmol l-1,
Cl-s,,1,mmol l-1,
K+l,IGNORED: Calculated from total,10,mmol l-1,
Mg2+l,IGNORED: Calculated from total,5,mmol l-1,
Cl-l,IGNORED: Calculated from total,1,mmol l-1,
AIP,BF::COND::Aip,0,mmol m-2,
UI,BF::COND::U,0,mmol m-2,
A0,,1,mmol m-2,
Fdr,BF::COND::Fdn,0.3,mmol m-2,
BFHs,,19.0001,mmol l-1,
BFTs,BF::POOL::BFTs,38,mmol l-1,
BFHl,,19.0001,mmol l-1,
BFTl,BF::POOL::BFTl,38,mmol l-1,
NADPH,,0.21,mmol l-1,
NADP,,0.79,mmol l-1,
E.bL.bH,,1,mmol m-2,
E.bL.bH.ISPox.PQH2,,0,mmol m-2,
E.bL.bH.PQH·,,0,mmol m-2,
ISPHred,,0,mmol m-2,
ISPH+ox,,1,mmol m-2,
E.bL­-bH,,0,mmol m-2,
E.bL.bH-,,0,mmol m-2,
H+,,1E-04,mmol l-1,
A0-,BF::COND::An,0,mmol m-2,
Fd,,0.7,mmol m-2,
Cyt f,IGNORED: Repeat of cyt f?,1,mmol m-2,
PC,BF::COND::cytc2,1,mmol m­-2,
PQ,,1,mmol m-2,
QH,,0.031,Dimensionless,
Hfl,,1E-04,mmol l-1,
Hfs,,1E-04,mmol l-1,
FdT,BF::POOL::TFd,1,mmol m-2,
CytbT,BF::POOL::Tcyt,1,mmol m-2,
PQT,"FI::POOL::PQT,FIBF::POOL::PQT",8,mmol m-2,
A0T,BF::POOL::TA,1,mmol m-2,
fpH,,NA,Dimensionless,
Netcharge,,0,Coulomb,
Qi,,1,mmol m-2,
Qse,,NA,mmol m-2,
Qst,,NA,mmol m-2,
DY,,0,V,

"Table II.5: The concentrations of different metabolites used in the carbon metabolism model (Zhu et al., 2007). The ranges of values found in the literature are given in the adjacent column together with their sources."
Name,C++ Parameter,Value,Units,Location,Reference,Description
RuBP,"PS::COND::RuBP,PR::COND::RuBP,RuACT::COND::RuBP",2,mmol l-1,Chl,"Bassham and Krause (1969), Dietz and Heber (1984), Schimkat et al (1990), Woodrow and Mott (1993)",
PGA,PS::COND::PGA,2.4,mmol l-1,Chl,"Schimkat et al (1990), Woodrow and Mott (1993)",
DPGA,PS::COND::DPGA,0.0011,mmol l-1,Chl,"Dietz and Heber (1984),  Woodrow and Mott (1993)",
GAP,IGNORED: Internal to PS_Rate,0.02,mmol l-1,Chl,"Bassham and Krause (1969), Dietz and Heber (1984),  Woodrow and Mott (1993)",
DHAP,IGNORED: Internal to PS_Rate,0.48,mmol l-1,Chl,"Bassham and Krause (1969), Dietz and Heber (1984), Schimkat et al (1990)",
FBP,,0.67,mmol l-1,Chl,"Bassham and Krause (1969), Dietz and Heber (1984), Schimkat et al (1990), Woodrow and Mott (1993)",
E4P,,0.05,mmol l-1,Chl,"Bassham and Krause (1969),  Woodrow and Mott (1993)",
S7P,,2,mmol l-1,Chl,"Bassham and Krause (1969),  Woodrow and Mott (1993)",
SBP,,0.3,mmol l-1,Chl,"Bassham and Krause (1969), Schimkat et al (1990), Woodrow and Mott (1993)",
ATP,"PS::COND::ATP,PR::RC::ATP",0.68,mmol l-1,Chl,"Bassham and Krause (1969), Woodrow and Mott (1993),  Igamberdiev et al (2001)",
NADPH,,0.21,mmol l-1,Chl,"Giersch et al (1980),  Woodrow and Mott (1993)",
CO2,RuACT::POOL::C,0.012,mmol l-1,Chl,Dietz and Heber (1984),
O2,RuACT::POOL::O,0.26,mmol l-1,Chl,Model estimate,
HexP,,2.2,mmol l-1,Chl,"Schimkat et al (1990), Woodrow and Mott (1993),  Winter et al (1994)",
PenP,,0.25,mmol l-1,Chl,"Bassham and Krause (1969),  Schimkat et al (1990), Woodrow and Mott (1993)",
Pi,ALL::VARS::Pi,5,mmol l-1,Chl,"Dietz and Heber (1984), Schimkat et al (1990), Woodrow and Mott (1993)",
CP,,15,mmol l-1,Chl,Lilley et al (1977),
CA,,1.5,mmol l-1,Chl,Igamberdiev et al (2001),
CN,,0.5,mmol l-1,Chl,"Giersch et al (1980),",
Pext,PS::MOD::PS_PEXT,0.5,mmol l-1,Chl,"Bligny et al (1990),  Woodrow and Mott (1993)",
NADH,,0.22,mmol l-1,Chl,This was kept constant in the preliminary model,
NADHc,,0.47,mmol l-1,Cyto,As for NADH,
NAD,,0.08,mmol l-1,Chl,As for NADH,
NADc,,0.4,mmol l-1,Cyt,As for NADH,
ATP,IGNORED,0.68,mmol l-1,Chl,,
ATPc,,0.35,mmol l-1,Cyt,As for NADH,
ADP,PR::RC::ADP,0.82,mmol l-1,Chl,,
ADPc,,0.64,mmol l-1,Cyt,As for NADH,
GLUc,,24,mmol l-1,Cyt,As for NADH,
KGc,,0.4,mmol l-1,Cyt,As for NADH,
Pic,,5,mmol l-1,Chl,As for  NADH,
SERc,,7.5,mmol l-1,Cyt,,
GLYc,,1.8,mmol l-1,Cyt,,
PGA,"PR::MOD::PGA,PR::RC::PGA",4.3,mmol l-1,Chl,,
GOAc,,0.028,mmol l-1,Cyt,30 l cytosol per mg chlorophyll,
GCA,,0.36,mmol l-1,Chl,,
GCAc,,0.36,mmol l-1,Cyt,,
PGCA,,0.0029,mmol l-1,Chl,Based on the Michaelis- Menton equation for reaction 112 b,
HPRc,,0.0035,mmol l-1,Cyt,Based on the Michaelis-Menton equation for reaction 123 b,
GCEA,,0.1812,mmol l-1,Chl,Based on the Michaelis- Menton equation for reaction 113 b,
GCEAc,,0.1812,mmol l-1,Cyt,Assume equilibrium with stromal Glycerate concentration,
TPc,,2.3,mmol l-1,Cyt,"Stitt et al. (1980), Stitt et al. (1985), Gerhardt et al. (1987), Laisk et al. (1989)",
FBPc,,2,mmol l-1,Cyt,As above,
F26BPc,,7E-06,mmol l-1,Cyt,As above,
UTc,,1,mmol l-1,Cyt,As above,
HexPc,,6,mmol l-1,Cyt,As above,
UDPG,,0.6,mmol l-1,Cyt,As above,
PTc,,15,mmol l-1,Cyt,As above,
ATc,,1,mmol l-1,Cyt,As above,

Table II.6: Molecular weight and catalytic number of the enzymes in photosynthetic carbon metabolism
Name,EC,Molecular Weight (D),Catalytic number1 (s-1),Reference,Description
Rubisco,4.1.1.39,588000,2*,Spreitzer and Salvucci (2002),
PGA Kinase,2.7.2.3,45000,540,"Fifis and Scopes (1978), Bentahir et al (2000)",
GAP Dehydrogenase,1.2.1.12,180000,50,Speranza and Ferri (1982),
Aldolase,4.1.2.13,7000,65,"Krueger and Sschnarrenberger (1983), Moorhead and Pplaxton (1990)",
FBPase,3.1.3.11,160000,22.9,"Tang et al. (2000), Reichert et al.(2000)",
Transketolase,2.2.1.1,160000,69,Nilsson et al (1998) Teige et al. (1989),
SBPase,3.1.3.37,66000,81,"Cadet et al. (1988), Cadet and Meunier (1987)",
PRK,2.7.1.19,90000,615,"Surek et al. (1985), Porter et al. (1986)",
ADPG Pyrophospho-rylase,2.7.7.27,210000,546,"Kleczkowski et al. (1991), Li and Preiss(1992)",
Phosphoglycolate phosphatase,3.1.3.18,100000,292,"Kim et al. (2004), Kerr and Gear (1974)",
Glycerate Kinase,2.7.1.31,47000,200,"Kleczkowski et al. (1985), Kleczkowski and Randall (1988)",
Glycolalate oxidase,1.1.1.79,125000,437,"Kleczkowski et al. (1986), Zelitch(1955)",
Serine Glyoxylate aminotransferase,2.6.1.45,85000,97,"Ireland and Joy (1983), Paszkowski and Niedzielsa (1990)",
Glycerate dehydrogenase,1.1.1.29,90000,1629,"Julliard and Breton-Gilet (1997),  Izumi et al.(1990)",
Glutamate Glyoxylate aminotransferase,2.6.1.44,70800,54,Paszkowski and Niedzielska (1989),
Glycine decarboxylase,1.4.4.2,270000,18,"Hiraga and Kikuchi (1980), Kochi and Kikuchi (1974)",
6-phosphofructo-2-kinase,2.7.1.105,390000,9300,"Villadsen and Nielsen (2001), Baez et al. (2003)",
"fructose-2,6-bisphosphate 2-phosphatase",3.1.3.46,390000,1550,"Pilkis et al. (1987), Villadsen and Nielsen (2001),",
UDP Glucose pyrophosphorylase,2.7.7.9,53000,400,"Gustafson and Gander (1972), Sowokinos et al (1993)",
Sucrose phosphate synthase,2.4.1.14,480000,640,Sonnewald et al. (1993),
Sucrose phosphatase,3.1.3.24,120000,2500,"Echeverria and Salerno (1994), Lunn et al. (2000)",
